Jednostka,Nazwa zadania,Akronim,Wydatki rzeczowe,Wydatki na utrzymanie stanowiska pracy,Wydatki na zadania ogółem
Biuro Nadzoru Właścicielskiego (NW),Przebudowa Pawilonu Nr 4 ZOL w Krakowie oraz wdrożenie programu edukacyjnego w zakresie opieki długoterminowej,ZOL,201512.0,,201512.0
Biuro Nadzoru Właścicielskiego (NW),Zakup i obejmowanie akcji oraz wnoszenie wkładów do spółek prawa handlowego ,MAS,,,0.0
Biuro Nadzoru Właścicielskiego (NW),Zadania dzielnic (inwestycyjne),"DIR, DIW",,,0.0
Biuro Nadzoru Właścicielskiego (NW),Zadania inwestycyjne,ZIN,,,0.0
Biuro Nadzoru Właścicielskiego (NW),nan,,,,0.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Koordynacja i obsługa administracyjna,0,,339315.0,339315.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Przejmowanie mienia i nieruchomości,PMN,37000.0,791737.0,828737.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Rewindykacja nieruchomości,RED,72500.0,508973.0,581473.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Przejmowanie spadków na rzecz GMK,SPA,810500.0,678631.0,1489131.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Przejmowanie mienia po podmiotach gospodarczych,KRS,,56553.0,56553.0
Biuro Przejmowania Mienia i Rewindykacji (MR),Zadania inwestycyjne,ZIN,,,
Biuro Przejmowania Mienia i Rewindykacji (MR),nan,,,,0.0
Centrum Obsługi Informatycznej  (IT),Koordynacja i obsługa administracyjna,0,,1244157.0,1244157.0
Centrum Obsługi Informatycznej  (IT),Obsługa zintegrowanego systemu teleinformatycznego,ZSI,24150000.0,12328466.0,36478466.0
Centrum Obsługi Informatycznej  (IT),Zadania dzielnic (bieżące),DBR,40500.0,,40500.0
Centrum Obsługi Informatycznej  (IT),Baza Referencyjna - Osoby,BRO,,169658.0,169658.0
Centrum Obsługi Informatycznej  (IT),Krakowskie Centrum Kontaktu,KCK,,169658.0,169658.0
Centrum Obsługi Informatycznej  (IT),Wdrożenie aplikacji mobilnej do obsługi usług i kart w UMK,MOB,,113105.0,113105.0
Centrum Obsługi Informatycznej  (IT),Wdrożenie Strategii Usług w UMK,WSU,,113105.0,113105.0
Centrum Obsługi Informatycznej  (IT),Platforma do wirtualizacji danych,PWD,,,0.0
Centrum Obsługi Informatycznej  (IT),Zadania inwestycyjne,ZIN,,,
Centrum Obsługi Informatycznej  (IT),nan,,,,
Kancelaria Prezydenta (KP),Koordynacja i obsługa administracyjna,0,,791736.0,791736.0
Kancelaria Prezydenta (KP),Współpraca zagraniczna,BWZ,321500.0,904842.0,1226342.0
Kancelaria Prezydenta (KP),Obsługa spotkań Prezydenta Miasta z mieszkańcami,SPM,,226210.0,226210.0
Kancelaria Prezydenta (KP),Kontakty publiczne,BWK,426500.0,1114086.0,1540586.0
Kancelaria Prezydenta (KP),Obsługa sekretarsko - asystencka i ochrona wartości niematerialnych i prawnych,ORG,39200.0,1922789.0,1961989.0
Kancelaria Prezydenta (KP),Kancelaria Tajna,KTU,,226210.0,226210.0
Kancelaria Prezydenta (KP),Zarządzanie Domem Krakowskim w Norymberdze,ZDK,500000.0,113105.0,613105.0
Kancelaria Prezydenta (KP),Przynależność Gminy Miejskiej Kraków do organizacji krajowych i międzynarodowych,SKZ,1316300.0,16966.0,1333266.0
Kancelaria Prezydenta (KP),nan,,,,0.0
Kancelaria Rady Miasta Krakowa (BR),Koordynacja i obsługa administracyjna,0,,588147.0,588147.0
Kancelaria Rady Miasta Krakowa (BR),Obsługa Rady Miasta Krakowa,ORM,2750000.0,2799354.0,5549354.0
Kancelaria Rady Miasta Krakowa (BR),Finansowanie Klubów Radnych,FKR,70000.0,5655.0,75655.0
Kancelaria Rady Miasta Krakowa (BR),nan,,,,0.0
Krakowskie Centrum Świadczeń (SO),Koordynacja i obsługa administracyjna,0,,933118.0,933118.0
Krakowskie Centrum Świadczeń (SO),Obsługa i wypłata dodatków mieszkaniowych,ODM,13000000.0,1922788.0,14922788.0
Krakowskie Centrum Świadczeń (SO),Wypłata rekompensat z tytułu ćwiczeń wojskowych oraz pokrywanie należności mieszkaniowych żołnierzom,ZCM,30000.0,56552.0,86552.0
Krakowskie Centrum Świadczeń (SO),Obsługa i wypłata świadczeń rodzinnych oraz z funduszu alimentacyjnego,SWR,127669421.0,5960644.0,133630065.0
Krakowskie Centrum Świadczeń (SO),Wypłata świadczenia dla posiadaczy Karty Polaka,KPW,,84829.0,84829.0
Krakowskie Centrum Świadczeń (SO),Rządowy program dla rodzin wielodzietnych,KDR,,452421.0,452421.0
Krakowskie Centrum Świadczeń (SO),Obsługa i wypłata świadczenia wychowawczego,PR5,319962279.0,2341278.0,322303557.0
Krakowskie Centrum Świadczeń (SO),Obsługa i wypłata świadczenia Dobry Start,DS3,5000.0,11310.0,16310.0
Krakowskie Centrum Świadczeń (SO),Krakowska Karta Rodzinna 3+,KR3,50000.0,452421.0,502421.0
Krakowskie Centrum Świadczeń (SO),Opieka nad repatriantami,REP,150000.0,113105.0,263105.0
Krakowskie Centrum Świadczeń (SO),"Wydawanie zaświadczeń ""Czyste powietrze""",ZCP,,113105.0,113105.0
Krakowskie Centrum Świadczeń (SO),nan,,,,
Urząd Stanu Cywilnego (SC),Koordynacja i obsługa administracyjna,0,,508719.0,508719.0
Urząd Stanu Cywilnego (SC),"Obsługa mieszkańców w zakresie stanu cywilnego, rejestru PESEL oraz zmiany imienia i nazwiska",USC,150000.0,8200381.0,8350381.0
Urząd Stanu Cywilnego (SC),nan,,,,0.0
Wydział Architektury i Urbanistyki (AU),Koordynacja i obsługa administracyjna,0,,2488314.0,2488314.0
Wydział Architektury i Urbanistyki (AU),Wydawanie decyzji o warunkach zabudowy i zagospodarowania terenu,WZT,154000.0,8426337.0,8580337.0
Wydział Architektury i Urbanistyki (AU),Wydawanie decyzji o pozwoleniu na budowę i przyjmowanie zgłoszeń,PZZ,145000.0,11649835.0,11794835.0
Wydział Architektury i Urbanistyki (AU),Przygotowanie i realizacja inwestycji mieszkaniowych oraz inwestycji towarzyszących,RIM,1000.0,56553.0,57553.0
Wydział Architektury i Urbanistyki (AU),nan,,,,
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Koordynacja i obsługa administracyjna,0,,599458.0,599458.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Nadzór i koordynacja zadań obrony cywilnej i powszechnej samoobrony,CYW,18000.0,791736.0,809736.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Realizacja zadań obronnych ,OBR,5550.0,339316.0,344866.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Zapewnienie realizacji bieżących zadań Powiatowego Centrum Zarządzania Kryzysowego związanych z zagrożeniami kryzysowymi,KRY,131730.0,904842.0,1036572.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Realizacja obowiązków Gminy Miejskiej Kraków w zakresie finansowania OSP,OSP,655100.0,237522.0,892622.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Budowa mapy zagrożeń Miasta Krakowa,MAP,310000.0,565526.0,875526.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Nadzór i realizacja Programów Bezpieczeństwa w mieście ,PBK,1661036.0,486352.0,2147388.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Budżet obywatelski dzielnic,BOD,806900.0,,806900.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Ochrona przed powodzią,POW,21284.0,452419.0,473703.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Działania zmierzające do poprawy bezpieczeństwa imprez masowych,IMP,,260142.0,260142.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Zadania dzielnic (bieżące),DBR,78100.0,,78100.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Rozbudowa monitoringu wizyjnego,MON,,,0.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Zadania dzielnic (inwestycyjne),"DIR, DIW",,,0.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Zadania inwestycyjne,ZIN,,,0.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),nan,,,,
Wydział Budżetu Miasta (BM),Koordynacja i obsługa administracyjna,0,,904842.0,904842.0
Wydział Budżetu Miasta (BM),"Budżet Miasta Krakowa i Wieloletnia Prognoza Finansowa - opracowanie, aktualizacja, sprawozdawczość",BMK,,3958682.0,3958682.0
Wydział Budżetu Miasta (BM),Obsługa finansowo-księgowa oraz sprawozdawczość budżetu Miasta Krakowa,FKS,500000.0,2714524.0,3214524.0
Wydział Budżetu Miasta (BM),Zarządzanie i obsługa zadłużenia Miasta w tym analizowanie sytuacji finansowej Miasta Krakowa,ZOD,164727689.0,565526.0,165293215.0
Wydział Budżetu Miasta (BM),Koordynacja systemów informatycznych obsługujących działalność finansową Miasta zgodnie z zasadami polityki i rachunkowości Miasta,KSI,,678631.0,678631.0
Wydział Budżetu Miasta (BM),nan,,,,
Wydział ds. Jakości Powietrza (JP),Koordynacja i obsługa administracyjna,0,,961394.0,961394.0
Wydział ds. Jakości Powietrza (JP),Projekt zintegrowany LIFE w zakresie wdrażania Programu ochrony powietrza dla województwa małopolskiego,LFE,14500.0,1017947.0,1032447.0
Wydział ds. Jakości Powietrza (JP),Roczne działania zmierzające do poprawy jakości powietrza,ROP,282800.0,1185342.0,1468142.0
Wydział ds. Jakości Powietrza (JP),Wieloletnie działania zmierzające do poprawy jakości powietrza,WOP,171400.0,3604663.0,3776063.0
Wydział ds. Jakości Powietrza (JP),Zadania związane z ochroną środowiska i gospodarką wodną,ZOS,100000.0,16966.0,116966.0
Wydział ds. Jakości Powietrza (JP),EKO TEAM zapewnienie personelu do realizacji zadań dot. poprawy efektywności energetycznej budynków mieszkalnych i rozwoju OZE w Metropolii Krakowskiej,ELA,,113105.0,113105.0
Wydział ds. Jakości Powietrza (JP),Zadania inwestycyjne,ZIN,,,0.0
Wydział ds. Jakości Powietrza (JP),nan,,,,
Wydział ds. Przedsiębiorczości i Innowacji (PI),Koordynacja i obsługa administracyjna,0,,904842.0,904842.0
Wydział ds. Przedsiębiorczości i Innowacji (PI),Rewitalizacja miasta,REW,1200000.0,1017947.0,2217947.0
Wydział ds. Przedsiębiorczości i Innowacji (PI),Obsługa inwestorów,COI,1200000.0,1017947.0,2217947.0
Wydział ds. Przedsiębiorczości i Innowacji (PI),Wspieranie przedsiębiorczości,MSP,1050000.0,565526.0,1615526.0
Wydział ds. Przedsiębiorczości i Innowacji (PI),Krakow Metropolitan Area For Business,KMA,421425.0,113105.0,534530.0
Wydział ds. Przedsiębiorczości i Innowacji (PI),Ośrodek Naukowo Akademicki,ONA,558486.0,565526.0,1124012.0
Wydział ds. Przedsiębiorczości i Innowacji (PI),Punkt Obsługi Przedsiębiorcy,POP,12500.0,678630.0,691130.0
Wydział ds. Przedsiębiorczości i Innowacji (PI),nan,,,,
Wydział ds. Turystyki (WT),Koordynacja i obsługa administracyjna,0,,678631.0,678631.0
Wydział ds. Turystyki (WT),Niekategoryzowane obiekty noclegowe,KON,,565526.0,565526.0
Wydział ds. Turystyki (WT),Tourism Friendly Cities,TFC,76600.0,56553.0,133153.0
Wydział ds. Turystyki (WT),Marketing turystyczny,MIT,4130852.0,1215880.0,5346732.0
Wydział ds. Turystyki (WT),Wsparcie rozwoju rynku turystycznego,WRT,855000.0,1046223.0,1901223.0
Wydział ds. Turystyki (WT),Małopolska - cel podróży,MCP,1700000.0,56553.0,1756553.0
Wydział ds. Turystyki (WT),Budżet obywatelski dzielnic,BOD,,,0.0
Wydział ds. Turystyki (WT),Zadania dzielnic (bieżące),DBR,,,0.0
Wydział ds. Turystyki (WT),Zadania inwestycyjne,ZIN,,,
Wydział ds. Turystyki (WT),nan,,,,
Wydział Edukacji (EK),Koordynacja i obsługa administracyjna,0,,848289.0,848289.0
Wydział Edukacji (EK),Organizacja i nadzór nad funkcjonowaniem samorządowej oświaty,OIN,462000.0,2482659.0,2944659.0
Wydział Edukacji (EK),Jakość i promocja edukacji,JPR,1035000.0,723873.0,1758873.0
Wydział Edukacji (EK),"w tym: Program jazz (programy edukacyjne), promocja Szkolnego Budżetu Obywatelskiego, ""Wyciągamy dzieci z depresji pocovidowej""- cykl zabaw i konkurs dla dzieci z przedszkoli i szkół w 2022 r.",,,,
Wydział Edukacji (EK),Programy edukacyjne współfinansowane ze źródeł zewnętrznych,UEZ,1891100.0,107450.0,1998550.0
Wydział Edukacji (EK),"Prowadzenie ewidencji i rejestrów, dotowanie szkół i placówek niesamorządowych",RID,438619120.0,1809683.0,440428803.0
Wydział Edukacji (EK),Nadzór nad systemami informatycznymi ,EIT,6742400.0,701252.0,7443652.0
Wydział Edukacji (EK),Finansowanie zadań oświatowych,FZO,9797000.0,1131052.0,10928052.0
Wydział Edukacji (EK),"w tym: klimatyzatory dla przedszkoli samorządowych, filtry do oczyszczaczy powietrza do placówek samorządowych, kamery szkolne dla chorych dzieci, ""Pogotowie ozonowe""- zakup ozonatorów powietrza, osuszacze powietrza- usuwanie skutków powodzi w placówkach edukacyjnych, ""Szkoła Gigbajtowa""- poprawa infrastruktury internetowej w szkołach samorządowych ",,,,
Wydział Edukacji (EK),Zadania inwestycyjne,ZIN,,,0.0
Wydział Edukacji (EK),nan,,,,0.0
Wydział Egzekucji Administracyjnej i Windykacji (EW),Koordynacja i obsługa administracyjna,0,,678631.0,678631.0
Wydział Egzekucji Administracyjnej i Windykacji (EW),Egzekucja administracyjna należności publicznoprawnych,EAP,100000.0,3280051.0,3380051.0
Wydział Egzekucji Administracyjnej i Windykacji (EW),Kontrola egzekucji administracyjnej należności publicznoprawnych,KEA,120000.0,1470367.0,1590367.0
Wydział Egzekucji Administracyjnej i Windykacji (EW),Pomoc publiczna,PPU,,226210.0,226210.0
Wydział Egzekucji Administracyjnej i Windykacji (EW),Windykacja należności cywilnoprawnych,WNC,1550000.0,1017947.0,2567947.0
Wydział Egzekucji Administracyjnej i Windykacji (EW),nan,,,,
Wydział Ewidencji Pojazdów i Kierowców (KM),Koordynacja i obsługa administracyjna,0,,904842.0,904842.0
Wydział Ewidencji Pojazdów i Kierowców (KM),Wydawanie uprawnień do kierowania pojazdami,RPJ,806700.0,2262104.0,3068804.0
Wydział Ewidencji Pojazdów i Kierowców (KM),Rejestracja pojazdów ,RRP,5930100.0,10971204.0,16901304.0
Wydział Ewidencji Pojazdów i Kierowców (KM),Nadzór nad działalnością regulowaną i transportem drogowym,RTD,129500.0,1809683.0,1939183.0
Wydział Ewidencji Pojazdów i Kierowców (KM),Postępowania administracyjne ,RPA,33700.0,1357262.0,1390962.0
Wydział Ewidencji Pojazdów i Kierowców (KM),nan,,,,
Wydział Finansowy (FK),Koordynacja i obsługa administracyjna,0,,1131052.0,1131052.0
Wydział Finansowy (FK),Obsługa  finansowo-księgowa Urzędu Miasta Krakowa,OFK,1500000.0,8143574.0,9643574.0
Wydział Finansowy (FK),Obsługa płac,PLC,,1696578.0,1696578.0
Wydział Finansowy (FK),Generalny Rejestr Umów i Zleceń,GRU,,791736.0,791736.0
Wydział Finansowy (FK),nan,,,,0.0
Wydział Geodezji (GD),Koordynacja i obsługa administracyjna,0,,1131052.0,1131052.0
Wydział Geodezji (GD),Regulacja stanów prawnych nieruchomości,RSP,938100.0,2148999.0,3087099.0
Wydział Geodezji (GD),Wydawanie decyzji w zakresie ewidencji gruntów i budynków ,DEG,590301.0,3166946.0,3757247.0
Wydział Geodezji (GD),Obsługa klienta,OBK,3039000.0,4863523.0,7902523.0
Wydział Geodezji (GD),Zadania związane z zasobem geodezyjnym i kartograficznym,OGK,3300000.0,9104968.0,12404968.0
Wydział Geodezji (GD),Obsługa Miejskiego Systemu Informacji Przestrzennej,SIP,276000.0,656010.0,932010.0
Wydział Geodezji (GD),"Nowe usługi w Elektronicznym Centrum Obsługi (ECO), elektroniczne archiwum i rejestry publiczne",ECO,2991123.0,56553.0,3047676.0
Wydział Geodezji (GD),Rozwój i konsolidacja Miejskiego Systemu Informacji Przestrzennej wraz z modułem 3D,MIP,,101795.0,101795.0
Wydział Geodezji (GD),Baza referencyjna nieruchomości,BRN,,33931.0,33931.0
Wydział Geodezji (GD),Zadania inwestycyjne,ZIN,,,0.0
Wydział Geodezji (GD),nan,,,,
Wydział Gospodarki Komunalnej (GK),Koordynacja i obsługa administracyjna,0,,678631.0,678631.0
Wydział Gospodarki Komunalnej (GK),"Planowanie gospodarki niskoemisyjnej, energetyki i infrastruktury komunalnej",PEK,1355000.0,752150.0,2107150.0
Wydział Gospodarki Komunalnej (GK),Bezpieczeństwo powodziowe i odwodnienie na terenie GMK,BPO,,180968.0,180968.0
Wydział Gospodarki Komunalnej (GK),Planowanie rozwoju systemu transportu,PTK,4450000.0,1583473.0,6033473.0
Wydział Gospodarki Komunalnej (GK),Planowanie i promowanie zrównoważonej mobilności,PZM,350000.0,169658.0,519658.0
Wydział Gospodarki Komunalnej (GK),Rowerem do szkoły - Stars,STS,250000.0,169658.0,419658.0
Wydział Gospodarki Komunalnej (GK),Zintegrowany system gospodarowania odpadami komunalnymi ,SGO,246412336.0,667321.0,247079657.0
Wydział Gospodarki Komunalnej (GK),Utrzymanie czystości i porządku na terenie Gminy Miejskiej Kraków,UCP,57452627.0,803047.0,58255674.0
Wydział Gospodarki Komunalnej (GK),ClimateKIC - Zeroemisyjny Kraków,CLI,510000.0,480697.0,990697.0
Wydział Gospodarki Komunalnej (GK),PARK4SUMP,PAR,75000.0,56552.0,131552.0
Wydział Gospodarki Komunalnej (GK),Atelier,ATE,108100.0,169658.0,277758.0
Wydział Gospodarki Komunalnej (GK),Projekt zintegrowany LIFE w zakresie wdrażania Programu ochrony powietrza dla województwa małopolskiego,LFE,188800.0,226210.0,415010.0
Wydział Gospodarki Komunalnej (GK),LIFE IP EKOMAŁOPOLSKA - Wdrażanie Regionalnego Planu dla Klimatu i Energii dla województwa małopolskiego,LEM,155495.0,452421.0,607916.0
Wydział Gospodarki Komunalnej (GK),Handshake,HAN,105850.0,56552.0,162402.0
Wydział Gospodarki Komunalnej (GK),Intherwaste,INT,,,0.0
Wydział Gospodarki Komunalnej (GK),Zadania związane z ochroną środowiska i gospodarką wodną,ZOS,,,
Wydział Gospodarki Komunalnej (GK),Budżet obywatelski dzielnic,BOD,,,0.0
Wydział Gospodarki Komunalnej (GK),Zadania inwestycyjne,ZIN,,,0.0
Wydział Gospodarki Komunalnej (GK),nan,,,,
Wydział Komunikacji Społecznej (KS),Koordynacja i obsługa administracyjna,0,,1017947.0,1017947.0
Wydział Komunikacji Społecznej (KS),Informacje medialne oraz relacje publiczne,INF,250000.0,1017947.0,1267947.0
Wydział Komunikacji Społecznej (KS),Miejska Platforma Internetowa,MPI,5665000.0,1244157.0,6909157.0
Wydział Komunikacji Społecznej (KS),Działania wizerunkowe Miasta,DWM,2310000.0,1470368.0,3780368.0
Wydział Komunikacji Społecznej (KS),Kampanie informacyjne Miasta,KIM,1775000.0,791736.0,2566736.0
Wydział Komunikacji Społecznej (KS),Kampanie marketingowe Miasta,KMM,,,0.0
Wydział Komunikacji Społecznej (KS),nan,,,,0.0
Wydział Kontroli Wewnętrznej (WK),Koordynacja i obsługa administracyjna,0,,,0.0
Wydział Kontroli Wewnętrznej (WK),Rozpatrywanie skarg i wniosków,RSW,,,0.0
Wydział Kontroli Wewnętrznej (WK),Kontrolowanie funkcjonowania Magistratu i jednostek organizacyjnych,KOP,,,0.0
Wydział Kontroli Wewnętrznej (WK),Obsługa organów kontroli zewnętrznej oraz organów ścigania i wymiaru sprawiedliwości,OKZ,,,0.0
Wydział Kontroli Wewnętrznej (WK),Kontrola finansowa podmiotów wydatkujących środki publiczne określone w budżecie Miasta Krakowa,KFP,,,0.0
Wydział Kontroli Wewnętrznej (WK),"Inwentaryzacja składników majątkowych będących na stanie ewidencyjnym Urzędu Miasta Krakowa, Gminy Miejskiej Kraków, Miasta Krakowa – miasta na prawach powiatu i Skarbu Państwa",ISM,,,0.0
Wydział Kontroli Wewnętrznej (WK),nan,,,,0.0
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),Koordynacja i obsługa administracyjna,0,,452421.0,452421.0
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),Ewidencja mienia,EWM,388163.0,2205551.0,2593714.0
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),Rozpatrywanie skarg i wniosków,RSW,,904841.0,904841.0
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),Inwentaryzacja składników majątkowych ,ISM,,565526.0,565526.0
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),Aplikacja do Deklaracji Podatkowych,ADP,,56553.0,56553.0
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),Kontrola wewnętrzna i zewnętrzna,KWZ,,1583473.0,1583473.0
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),Kontrola finansowa podmiotów wydatkujących środki publiczne określone w budżecie Miasta Krakowa,KFP,,,0.0
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),Kontrolowanie funkcjonowania Magistratu i jednostek organizacyjnych,KOP,,,
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),Obsługa organów kontroli zewnętrznej oraz organów ścigania i wymiaru sprawiedliwości,OKZ,,,
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),Krajowy Zasób Nieruchomości,KZN,,,
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),nan,,,,
Wydział Kształtowania Środowiska (WS),Koordynacja i obsługa administracyjna,0,,1300710.0,1300710.0
Wydział Kształtowania Środowiska (WS),Edukacja ekologiczna,EKO,5000.0,203589.0,208589.0
Wydział Kształtowania Środowiska (WS),Oceny środowiskowe,OOS,51100.0,1016816.0,1067916.0
Wydział Kształtowania Środowiska (WS),Ochrona zieleni,ZIE,,2318656.0,2318656.0
Wydział Kształtowania Środowiska (WS),Działania w zakresie geologii i ochrony powierzchni ziemi,GEO,77940.0,1300710.0,1378650.0
Wydział Kształtowania Środowiska (WS),"Kształtowanie środowiska przyrodniczego, rolnictwo i zwierzęta",PRL,18265100.0,972705.0,19237805.0
Wydział Kształtowania Środowiska (WS),w tym dni otwarte ZOO wraz z imprezami towarzyszącymi,,,,
Wydział Kształtowania Środowiska (WS),"Wydawanie warunków na korzystanie ze środowiska w zakresie ochrony: wód, przed hałasem i polami elektromagnetycznymi",WPH,,1051878.0,1051878.0
Wydział Kształtowania Środowiska (WS),Zadania związane z ochroną środowiska i gospodarką wodną,ZOS,2600000.0,135726.0,2735726.0
Wydział Kształtowania Środowiska (WS),Zarządzanie i monitoring finansami środowiskowymi,ZFS,101400.0,384558.0,485958.0
Wydział Kształtowania Środowiska (WS),Udostępnianie informacji o środowisku,INŚ,,136857.0,136857.0
Wydział Kształtowania Środowiska (WS),Elektromobilność w Gminie Miejskiej Kraków,EGM,12460.0,,12460.0
Wydział Kształtowania Środowiska (WS),Usuwanie wyrobów zawierających azbest z terenu Miasta Krakowa do 2032 r.,AZB,,,0.0
Wydział Kształtowania Środowiska (WS),Budżet obywatelski ogólnomiejski,BOO,,,0.0
Wydział Kształtowania Środowiska (WS),Zadania inwestycyjne,ZIN,,,0.0
Wydział Kształtowania Środowiska (WS),nan,,,,
Wydział Kultury i Dziedzictwa Narodowego (KD),Koordynacja i obsługa administracyjna ,0,,571181.0,571181.0
Wydział Kultury i Dziedzictwa Narodowego (KD),Prowadzenie instytucji kultury ,PIK,10136250.0,1187604.0,11323854.0
Wydział Kultury i Dziedzictwa Narodowego (KD),Wspieranie działalności kulturalnej i artystycznej,WDK,13370000.0,791736.0,14161736.0
Wydział Kultury i Dziedzictwa Narodowego (KD),"Współpraca i wymiana kulturalna, realizacja własnych projektów",RWP,3770000.0,350626.0,4120626.0
Wydział Kultury i Dziedzictwa Narodowego (KD),Ochrona dziedzictwa kulturowego,ODK,6150000.0,718218.0,6868218.0
Wydział Kultury i Dziedzictwa Narodowego (KD),Opiniowanie przedsięwzięć dla harmonijnego i estetycznego wizerunku Miasta,OWM,,226210.0,226210.0
Wydział Kultury i Dziedzictwa Narodowego (KD),Parki Kulturowe,PKM,300000.0,791738.0,1091738.0
Wydział Kultury i Dziedzictwa Narodowego (KD),Elektromobilność w Gminie Miejskiej Kraków,EGM,369350.0,,369350.0
Wydział Kultury i Dziedzictwa Narodowego (KD),Budżet obywatelski dzielnic,BOD,,,0.0
Wydział Kultury i Dziedzictwa Narodowego (KD),Zadania dzielnic (inwestycyjne),"DIR, DIW",,,0.0
Wydział Kultury i Dziedzictwa Narodowego (KD),Zadania inwestycyjne,ZIN,,,0.0
Wydział Kultury i Dziedzictwa Narodowego (KD),nan,,,,0.0
Wydział Miejskiego Inżyniera Ruchu (IR),Koordynacja i obsługa administracyjna,0,,904842.0,904842.0
Wydział Miejskiego Inżyniera Ruchu (IR),Zarządzanie ruchem,ZAR,600000.0,4184892.0,4784892.0
Wydział Miejskiego Inżyniera Ruchu (IR),nan,,,,
Wydział Mieszkalnictwa (ML),Koordynacja i obsługa administracyjna,0,,1583473.0,1583473.0
Wydział Mieszkalnictwa (ML),Obsługa spraw mieszkaniowych,OSM,1877000.0,5315944.0,7192944.0
Wydział Mieszkalnictwa (ML),Pozyskiwanie lokali mieszkalnych oraz nadzór nad stanem technicznym lokali i budynków ,PLN,11000.0,848289.0,859289.0
Wydział Mieszkalnictwa (ML),Polityka mieszkaniowa Gminy Miejskiej Kraków oraz monitorowanie gospodarki mieszkaniowej Gminy,PMG,,395868.0,395868.0
