Jednostka,Nazwa zadania,Akronim,Wydatki rzeczowe,Wydatki na utrzymanie stanowiska pracy,Wydatki na zadania ogółem
Krakowskie Centrum Świadczeń (SO),Koordynacja i obsługa administracyjna,0,,990614.0,990614.0
Krakowskie Centrum Świadczeń (SO),Obsługa i wypłata dodatków mieszkaniowych,ODM,15256900.0,2228881.0,17485781.0
Krakowskie Centrum Świadczeń (SO),Wypłata rekompensat z tytułu ćwiczeń wojskowych ,ZCM,30000.0,61913.0,91913.0
Krakowskie Centrum Świadczeń (SO),Obsługa i wypłata świadczeń rodzinnych oraz z funduszu alimentacyjnego,SWR,130625881.0,6810470.0,137436351.0
Krakowskie Centrum Świadczeń (SO),Wypłata świadczenia dla posiadaczy Karty Polaka,KPW,,123827.0,123827.0
Krakowskie Centrum Świadczeń (SO),Rządowy program dla rodzin wielodzietnych,KDR,,495307.0,495307.0
Krakowskie Centrum Świadczeń (SO),Obsługa i wypłata świadczenia wychowawczego,PR5,400000.0,123827.0,523827.0
Krakowskie Centrum Świadczeń (SO),Krakowska Karta Rodzinna 3+,KR3,50000.0,495307.0,545307.0
Krakowskie Centrum Świadczeń (SO),Opieka nad repatriantami,REP,200000.0,123827.0,323827.0
Krakowskie Centrum Świadczeń (SO),Dodatek osłonowy,DOS,,12383.0,12383.0
Krakowskie Centrum Świadczeń (SO),"Wydawanie zaświadczeń ""Czyste powietrze""",ZCP,,247652.0,247652.0
Krakowskie Centrum Świadczeń (SO),Karta Krakowska,PKK,20000.0,123827.0,143827.0
Krakowskie Centrum Świadczeń (SO),Dodatek elektryczny,DEL,,1163971.0,1163971.0
Krakowskie Centrum Świadczeń (SO),Refundacja podatku VAT od paliw gazowych,GAZ,,,
Krakowskie Centrum Świadczeń (SO),Inne źródła ciepła,IŻC,,,
Krakowskie Centrum Świadczeń (SO),Pomoc dla uchodźców z Ukrainy,UKR,,,0.0
Krakowskie Centrum Świadczeń (SO),nan,,,,
Urząd Stanu Cywilnego (SC),Koordynacja i obsługa administracyjna,0,,556941.0,556941.0
Urząd Stanu Cywilnego (SC),"Obsługa mieszkańców w zakresie stanu cywilnego, rejestru PESEL oraz zmiany imienia i nazwiska",USC,132000.0,8977717.0,9109717.0
Urząd Stanu Cywilnego (SC),nan,,,,0.0
Wydział Architektury i Urbanistyki (AU),Koordynacja i obsługa administracyjna,0,,2971841.0,2971841.0
Wydział Architektury i Urbanistyki (AU),Wydawanie decyzji o warunkach zabudowy i zagospodarowania terenu oraz nakładanie kar za reklamy niezgodne z uchwałą,WZT,229000.0,9101265.0,9330265.0
Wydział Architektury i Urbanistyki (AU),Wydawanie decyzji o pozwoleniu na budowę i przyjmowanie zgłoszeń,PZZ,200000.0,12927510.0,13127510.0
Wydział Architektury i Urbanistyki (AU),Przygotowanie i realizacja inwestycji mieszkaniowych oraz inwestycji towarzyszących,RIM,1000.0,12383.0,13383.0
Wydział Architektury i Urbanistyki (AU),nan,,,,
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Koordynacja i obsługa administracyjna,0,,656282.0,656282.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Nadzór i koordynacja zadań obrony cywilnej i powszechnej samoobrony,CYW,56000.0,866787.0,922787.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Realizacja zadań obronnych ,OBR,57700.0,371480.0,429180.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Zapewnienie realizacji bieżących zadań  Centrum Zarządzania Kryzysowego związanych z zagrożeniami kryzysowymi,KRY,188000.0,1609747.0,1797747.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Realizacja obowiązków Gminy Miejskiej Kraków w zakresie finansowania OSP,OSP,871500.0,260036.0,1131536.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Mapa zagrożeń Miasta Krakowa i rozbudowa monitoringu wizyjnego,MAP,340000.0,619134.0,959134.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Nadzór i realizacja Programów Bezpieczeństwa w mieście ,PBK,1770000.0,532455.0,2302455.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Ochrona przed powodzią,POW,19500.0,495307.0,514807.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Działania zmierzające do poprawy bezpieczeństwa imprez masowych,IMP,,284801.0,284801.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Budżet obywatelski dzielnic,BOD,440500.0,,440500.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Budżet obywatelski ogólnomiejski,BOO,,,
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Zadania dzielnic (bieżące),DBR,255250.0,,255250.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Utrzymanie gotowości operacyjnej pododdziału ratowniczego Szkoły Aspirantów Państwowej Straży Pożarnej w Krakowie,PSP,,,
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Pomoc dla uchodźców z Ukrainy,UKR,,,
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Zadania dzielnic (inwestycyjne),"DIR, DIW",,,0.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),Zadania inwestycyjne,ZIN,,,0.0
Wydział Bezpieczeństwa i Zarządzania Kryzysowego (OC),nan,,,,
Wydział Budżetu Miasta (BM),Koordynacja i obsługa administracyjna,0,,990614.0,990614.0
Wydział Budżetu Miasta (BM),"Budżet Miasta Krakowa i Wieloletnia Prognoza Finansowa - opracowanie, aktualizacja, sprawozdawczość",BMK,,4333936.0,4333936.0
Wydział Budżetu Miasta (BM),Obsługa finansowo-księgowa oraz sprawozdawczość budżetu Miasta Krakowa,FKS,500000.0,2971841.0,3471841.0
Wydział Budżetu Miasta (BM),Zarządzanie i obsługa zadłużenia Miasta w tym analizowanie sytuacji finansowej Miasta Krakowa,ZOD,394435251.0,619133.0,395054384.0
Wydział Budżetu Miasta (BM),Koordynacja działań GMK zgodnie  z zasadami polityki  rachunkowości Miasta,KSI,,742961.0,742961.0
Wydział Budżetu Miasta (BM),nan,,,,
Wydział ds. Jakości Powietrza (JP),Koordynacja i obsługa administracyjna,0,,1077293.0,1077293.0
Wydział ds. Jakości Powietrza (JP),Projekt zintegrowany LIFE w zakresie wdrażania Programu ochrony powietrza dla województwa małopolskiego,LFE,7200.0,1114441.0,1121641.0
Wydział ds. Jakości Powietrza (JP),Roczne działania zmierzające do poprawy jakości powietrza,ROP,258100.0,1380668.0,1638768.0
Wydział ds. Jakości Powietrza (JP),Wieloletnie działania zmierzające do poprawy jakości powietrza,WOP,164000.0,4104855.0,4268855.0
Wydział ds. Jakości Powietrza (JP),Rozliczenia wydatków majątkowych,RWM,,,
Wydział ds. Jakości Powietrza (JP),EKO TEAM zapewnienie personelu do realizacji zadań dot. poprawy efektywności energetycznej budynków mieszkalnych i rozwoju OZE w Metropolii Krakowskiej,ELA,,495307.0,495307.0
Wydział ds. Jakości Powietrza (JP),Wdrażanie Programu Ochrony Powietrza - Funkcjonowanie Ekodoradców,FEŚ,,,
Wydział ds. Jakości Powietrza (JP),Zadania inwestycyjne,ZIN,,,0.0
Wydział ds. Jakości Powietrza (JP),nan,,,,
Wydział ds. Przedsiębiorczości i Innowacji (PI),Koordynacja i obsługa administracyjna,0,,866787.0,866787.0
Wydział ds. Przedsiębiorczości i Innowacji (PI),Rewitalizacja miasta,REW,600000.0,1114441.0,1714441.0
Wydział ds. Przedsiębiorczości i Innowacji (PI),Obsługa inwestorów,COI,2400000.0,990614.0,3390614.0
Wydział ds. Przedsiębiorczości i Innowacji (PI),Wspieranie przedsiębiorczości,MSP,600000.0,619134.0,1219134.0
Wydział ds. Przedsiębiorczości i Innowacji (PI),Ośrodek Naukowo Akademicki,ONA,600000.0,742960.0,1342960.0
Wydział ds. Przedsiębiorczości i Innowacji (PI),Punkt Obsługi Przedsiębiorcy,POP,160000.0,866787.0,1026787.0
Wydział ds. Przedsiębiorczości i Innowacji (PI),Mapy przestrzenne analizy,MPA,20000.0,371480.0,391480.0
Wydział ds. Przedsiębiorczości i Innowacji (PI),Krakow Metropolitan Area For Business,KMA,,,0.0
Wydział ds. Przedsiębiorczości i Innowacji (PI),nan,,,,
Wydział ds. Turystyki (WT),Koordynacja i obsługa administracyjna,0,,742960.0,742960.0
Wydział ds. Turystyki (WT),Niekategoryzowane obiekty noclegowe,KON,,588177.0,588177.0
Wydział ds. Turystyki (WT),Marketing turystyczny,MIT,6220000.0,1300181.0,7520181.0
Wydział ds. Turystyki (WT),Wsparcie rozwoju rynku turystycznego,WRT,2080000.0,1331137.0,3411137.0
Wydział ds. Turystyki (WT),Małopolska - cel podróży,MCP,1520000.0,123827.0,1643827.0
Wydział ds. Turystyki (WT),Kraków Miastem Zrównoważonej Turystyki Biznesowej,ZTB,,,
Wydział ds. Turystyki (WT),Tourism in Balance,TIB,,,
Wydział ds. Turystyki (WT),Zadania inwestycyjne,ZIN,,,
Wydział ds. Turystyki (WT),nan,,,,
Wydział Edukacji (EK),Koordynacja i obsługa administracyjna,0,,922509.0,922509.0
Wydział Edukacji (EK),Organizacja i nadzór nad funkcjonowaniem samorządowej oświaty,OIN,7562000.0,2854206.0,10416206.0
Wydział Edukacji (EK),Jakość i promocja edukacji,JPR,485000.0,910126.0,1395126.0
Wydział Edukacji (EK),Programy edukacyjne współfinansowane ze źródeł zewnętrznych,UEZ,1719700.0,61913.0,1781613.0
Wydział Edukacji (EK),"Prowadzenie ewidencji i rejestrów, dotowanie szkół i placówek niesamorządowych",RID,553374240.0,2105054.0,555479294.0
Wydział Edukacji (EK),Nadzór nad systemami informatycznymi ,EIT,6723200.0,767726.0,7490926.0
Wydział Edukacji (EK),Finansowanie zadań oświatowych,FZO,18482900.0,1541644.0,20024544.0
Wydział Edukacji (EK),Realizacja zadań Pełnomocnika PMK ds. Rozwoju Kultury Fizycznej,PKF,1300000.0,495307.0,1795307.0
Wydział Edukacji (EK),Fundusz pomocy -podręczniki,BUK,,,
Wydział Edukacji (EK),Pomoc UNICEF dla dzieci i rodzin z Ukrainy,UNI,3147240.0,,3147240.0
Wydział Edukacji (EK),Upowszechnianie sportu,UPS,,,
Wydział Edukacji (EK),Pomoc dla uchodźców z Ukrainy,UKR,,,
Wydział Edukacji (EK),Zadania dzielnic (bieżące),DBR,,,
Wydział Edukacji (EK),Zadania inwestycyjne,ZIN,,,0.0
Wydział Edukacji (EK),nan,,,,0.0
Wydział Egzekucji Administracyjnej i Windykacji (EW),Koordynacja i obsługa administracyjna,0,,742960.0,742960.0
Wydział Egzekucji Administracyjnej i Windykacji (EW),Egzekucja administracyjna należności publicznoprawnych,EAP,100000.0,3590975.0,3690975.0
Wydział Egzekucji Administracyjnej i Windykacji (EW),Kontrola egzekucji administracyjnej należności publicznoprawnych,KEA,151500.0,1733574.0,1885074.0
Wydział Egzekucji Administracyjnej i Windykacji (EW),Pomoc publiczna,PPU,,247654.0,247654.0
Wydział Egzekucji Administracyjnej i Windykacji (EW),Windykacja należności cywilnoprawnych,WNC,1123000.0,1114441.0,2237441.0
Wydział Egzekucji Administracyjnej i Windykacji (EW),nan,,,,
Wydział Ewidencji Pojazdów i Kierowców (KM),Koordynacja i obsługa administracyjna,0,,990614.0,990614.0
Wydział Ewidencji Pojazdów i Kierowców (KM),Wydawanie uprawnień do kierowania pojazdami,RPJ,1229100.0,2600361.0,3829461.0
Wydział Ewidencji Pojazdów i Kierowców (KM),Rejestracja pojazdów ,RRP,5823400.0,11887366.0,17710766.0
Wydział Ewidencji Pojazdów i Kierowców (KM),Nadzór nad działalnością regulowaną i transportem drogowym,RTD,99000.0,1981228.0,2080228.0
Wydział Ewidencji Pojazdów i Kierowców (KM),Postępowania administracyjne ,RPA,48500.0,1733574.0,1782074.0
Wydział Ewidencji Pojazdów i Kierowców (KM),nan,,,,
Wydział Finansowy (FK),Koordynacja i obsługa administracyjna,0,,1362094.0,1362094.0
Wydział Finansowy (FK),Obsługa  finansowo-księgowa Urzędu Miasta Krakowa,OFK,1000000.0,9039351.0,10039351.0
Wydział Finansowy (FK),Obsługa płac,PLC,,1857401.0,1857401.0
Wydział Finansowy (FK),Generalny Rejestr Umów i Zleceń,GRU,,866787.0,866787.0
Wydział Finansowy (FK),Centralny Rejestr Umów,CR2,,,
Wydział Finansowy (FK),Wdrożenie Aplikacji do obsługi spraw kadrowo-płacowych w UMK,RKP,,,
Wydział Finansowy (FK),nan,,,,0.0
Wydział Geodezji (GD),Koordynacja i obsługa administracyjna,0,,1052527.0,1052527.0
Wydział Geodezji (GD),Regulacja stanów prawnych nieruchomości,RSP,940000.0,2476535.0,3416535.0
Wydział Geodezji (GD),Wydawanie decyzji w zakresie ewidencji gruntów i budynków ,DEG,657000.0,3590975.0,4247975.0
Wydział Geodezji (GD),Obsługa klienta,OBK,1601900.0,5448376.0,7050276.0
Wydział Geodezji (GD),Zadania związane z zasobem geodezyjnym i kartograficznym,OGK,3274000.0,9906138.0,13180138.0
Wydział Geodezji (GD),Obsługa Miejskiego Systemu Informacji Przestrzennej,SIP,227000.0,705812.0,932812.0
Wydział Geodezji (GD),Cyfryzacja GODGiK,CZK,,,
Wydział Geodezji (GD),"Nowe usługi w Elektronicznym Centrum Obsługi (ECO), elektroniczne archiwum i rejestry publiczne",ECO,259400.0,61913.0,321313.0
Wydział Geodezji (GD),Rozwój i konsolidacja Miejskiego Systemu Informacji Przestrzennej wraz z modułem 3D,MIP,35000.0,123827.0,158827.0
Wydział Geodezji (GD),Baza referencyjna nieruchomości,BRN,,37148.0,37148.0
Wydział Geodezji (GD),Zadania inwestycyjne,ZIN,,,0.0
Wydział Geodezji (GD),nan,,,,
Wydział Gospodarki Komunalnej i Klimatu (GK),Koordynacja i obsługa administracyjna,0,,990614.0,990614.0
Wydział Gospodarki Komunalnej i Klimatu (GK),"Planowanie gospodarki niskoemisyjnej, energetyki i infrastruktury komunalnej",PEK,1489693.0,897744.0,2387437.0
Wydział Gospodarki Komunalnej i Klimatu (GK),Bezpieczeństwo powodziowe i odwodnienie na terenie GMK,BPO,,185740.0,185740.0
Wydział Gospodarki Komunalnej i Klimatu (GK),Planowanie rozwoju systemu transportu,PTK,3260243.0,1362094.0,4622337.0
Wydział Gospodarki Komunalnej i Klimatu (GK),Planowanie i promowanie zrównoważonej mobilności,PZM,570000.0,247653.0,817653.0
Wydział Gospodarki Komunalnej i Klimatu (GK),Rowerem do szkoły - Stars,STS,350000.0,123827.0,473827.0
Wydział Gospodarki Komunalnej i Klimatu (GK),Zintegrowany system gospodarowania odpadami komunalnymi ,SGO,320964264.0,631516.0,321595780.0
Wydział Gospodarki Komunalnej i Klimatu (GK),Utrzymanie czystości i porządku na terenie Gminy Miejskiej Kraków,UCP,64000000.0,854404.0,64854404.0
Wydział Gospodarki Komunalnej i Klimatu (GK),ClimateKIC - Zeroemisyjny Kraków,CLI,215800.0,495307.0,711107.0
Wydział Gospodarki Komunalnej i Klimatu (GK),Atelier,ATE,225700.0,154783.0,380483.0
Wydział Gospodarki Komunalnej i Klimatu (GK),Projekt zintegrowany LIFE w zakresie wdrażania Programu ochrony powietrza dla województwa małopolskiego,LFE,250000.0,247654.0,497654.0
Wydział Gospodarki Komunalnej i Klimatu (GK),LIFE IP EKOMAŁOPOLSKA - Wdrażanie Regionalnego Planu dla Klimatu i Energii dla województwa małopolskiego,LEM,186580.0,495307.0,681887.0
Wydział Gospodarki Komunalnej i Klimatu (GK),Edukacja ekologiczna i klimatyczna,EKO,400000.0,371480.0,771480.0
Wydział Gospodarki Komunalnej i Klimatu (GK),Od idei do zmiany - Plan Zrównoważonej Mobilności Metropolii Krakowskiej,SUM,,,
Wydział Gospodarki Komunalnej i Klimatu (GK),MINEV,MIN,,,
Wydział Gospodarki Komunalnej i Klimatu (GK),Budżet obywatelski dzielnic,BOD,,,
Wydział Gospodarki Komunalnej i Klimatu (GK),Zadania inwestycyjne,ZIN,,,0.0
Wydział Gospodarki Komunalnej i Klimatu (GK),nan,,,,
Wydział Komunikacji Społecznej (KS),Koordynacja i obsługa administracyjna,0,,1052528.0,1052528.0
Wydział Komunikacji Społecznej (KS),Informacje medialne oraz relacje publiczne,INF,200000.0,1114441.0,1314441.0
Wydział Komunikacji Społecznej (KS),Miejska Platforma Internetowa,MPI,4120900.0,1362093.0,5482993.0
Wydział Komunikacji Społecznej (KS),Działania wizerunkowe Miasta,DWM,1829100.0,1609747.0,3438847.0
Wydział Komunikacji Społecznej (KS),Kampanie informacyjne Miasta,KIM,1950000.0,866787.0,2816787.0
Wydział Komunikacji Społecznej (KS),Fotobaza,FOT,,,
Wydział Komunikacji Społecznej (KS),mKraków,MKR,,,
Wydział Komunikacji Społecznej (KS),nan,,,,0.0
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),Koordynacja i obsługa administracyjna,0,,557220.0,557220.0
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),Ewidencja mienia,EWM,355800.0,2476535.0,2832335.0
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),Rozpatrywanie skarg i wniosków,RSW,,990614.0,990614.0
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),Inwentaryzacja składników majątkowych ,ISM,,619134.0,619134.0
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),Aplikacja do Deklaracji Podatkowych,ADP,,61913.0,61913.0
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),Kontrola wewnętrzna i zewnętrzna,KWZ,,1609747.0,1609747.0
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),"Projekt dotyczący ewidencji zasobu nieruchomości Gminy Miejskiej Kraków, Miasta Kraków - miasta na prawach powiatu oraz Skarbu Państwa",EZN,,123827.0,123827.0
Wydział Kontroli Wewnętrznej i Ewidencji Mienia (KE),nan,,,,
Wydział Kształtowania Środowiska (WS),Koordynacja i obsługa administracyjna,0,,1269224.0,1269224.0
Wydział Kształtowania Środowiska (WS),Oceny środowiskowe,OOS,10000.0,1213502.0,1223502.0
Wydział Kształtowania Środowiska (WS),Ochrona zieleni,ZIE,,2662275.0,2662275.0
Wydział Kształtowania Środowiska (WS),Działania w zakresie geologii i ochrony powierzchni ziemi,GEO,127126.0,1535451.0,1662577.0
Wydział Kształtowania Środowiska (WS),"Kształtowanie środowiska przyrodniczego, rolnictwo i zwierzęta",PRL,18629850.0,990614.0,19620464.0
Wydział Kształtowania Środowiska (WS),"Wydawanie warunków na korzystanie ze środowiska w zakresie ochrony: wód, przed hałasem i polami elektromagnetycznymi",WPH,,1201119.0,1201119.0
Wydział Kształtowania Środowiska (WS),Zadania związane z ochroną środowiska i gospodarką wodną,ZOS,2700000.0,123827.0,2823827.0
Wydział Kształtowania Środowiska (WS),Zarządzanie i monitoring finansami środowiskowymi,ZFS,31000.0,433394.0,464394.0
Wydział Kształtowania Środowiska (WS),Udostępnianie informacji o środowisku,INŚ,,241462.0,241462.0
Wydział Kształtowania Środowiska (WS),Polityka Kształtowania Środowiska,PKS,5000.0,359097.0,364097.0
Wydział Kształtowania Środowiska (WS),Elektromobilność w Gminie Miejskiej Kraków,EGM,199024.0,,199024.0
Wydział Kształtowania Środowiska (WS),Budżet obywatelski ogólnomiejski,BOO,230000.0,,230000.0
Wydział Kształtowania Środowiska (WS),Zadania inwestycyjne,ZIN,,,0.0
Wydział Kształtowania Środowiska (WS),nan,,,,
Wydział Kultury i Dziedzictwa Narodowego (KD),Koordynacja i obsługa administracyjna ,0,,631516.0,631516.0
Wydział Kultury i Dziedzictwa Narodowego (KD),Prowadzenie instytucji kultury ,PIK,25865400.0,1424007.0,27289407.0
Wydział Kultury i Dziedzictwa Narodowego (KD),Wspieranie działalności kulturalnej i artystycznej,WDK,14678500.0,829639.0,15508139.0
Wydział Kultury i Dziedzictwa Narodowego (KD),"Współpraca i wymiana kulturalna, realizacja własnych projektów",RWP,4390000.0,321950.0,4711950.0
Wydział Kultury i Dziedzictwa Narodowego (KD),Ochrona dziedzictwa kulturowego,ODK,6700000.0,501498.0,7201498.0
Wydział Kultury i Dziedzictwa Narodowego (KD),Opiniowanie przedsięwzięć dla harmonijnego i estetycznego wizerunku Miasta,OWM,,247654.0,247654.0
Wydział Kultury i Dziedzictwa Narodowego (KD),Parki Kulturowe,PKM,300000.0,773917.0,1073917.0
Wydział Kultury i Dziedzictwa Narodowego (KD),Elektromobilność w Gminie Miejskiej Kraków,EGM,1500000.0,,1500000.0
Wydział Kultury i Dziedzictwa Narodowego (KD),"Kreatywność, rozwój i współpraca",KRW,2150000.0,718195.0,2868195.0
Wydział Kultury i Dziedzictwa Narodowego (KD),Zrównoważone zarządzanie dysonansowym dziedzictwem Krakowa na przykładzie Nowej Huty - AR.C.H.ETHICS,ARC,,,
Wydział Kultury i Dziedzictwa Narodowego (KD),Pomoc UNICEF dla dzieci i rodzin z Ukrainy,UNI,,,
Wydział Kultury i Dziedzictwa Narodowego (KD),Budżet obywatelski dzielnic,BOD,,,
Wydział Kultury i Dziedzictwa Narodowego (KD),Zadania dzielnic (inwestycyjne),"DIR, DIW",,,0.0
Wydział Kultury i Dziedzictwa Narodowego (KD),Zadania inwestycyjne,ZIN,,,0.0
Wydział Kultury i Dziedzictwa Narodowego (KD),nan,,,,0.0
Wydział Miejskiego Inżyniera Ruchu (IR),Koordynacja i obsługa administracyjna,0,,990614.0,990614.0
Wydział Miejskiego Inżyniera Ruchu (IR),Zarządzanie ruchem,ZAR,520000.0,4829242.0,5349242.0
Wydział Miejskiego Inżyniera Ruchu (IR),nan,,,,
Wydział Mieszkalnictwa (ML),Koordynacja i obsługa administracyjna,0,,1702618.0,1702618.0
Wydział Mieszkalnictwa (ML),Obsługa spraw mieszkaniowych,OSM,1027000.0,6036553.0,7063553.0
